"STUDENT_ID";"STUDENT_NAME";"SEX";"PERCENTAGE";"CLASS";"SEC";"STREAM";"DOB"
1001;"Surekha Joshi";"F";82;12;"A";"Science";"2002-05-21"
1002;"Maahi Agarwal";"F";56;11;"C";"Commerce";"2002-04-22"
1003;"Sanam Verma";"M";59;11;"C";"Commerce";"2003-06-20"
1004;"Ronit Kumar";"M";63;11;"C";"Commerce";"2003-05-15"
1005;"Dipesh Pulkit";"M";78;11;"B";"Science";"2003-08-19"
1006;"Jahanvi Puri";"F";60;11;"B";"Commerce";"2004-07-28"
1007;"Sanam Kumar";"M";23;12;"F";"Commerce";"2004-02-15"
1008;"Sahil Saras";"M";56;11;"C";"Commerce";"2001-02-15"
1009;"Akshara Agarwal";"F";72;12;"B";"Commerce";"2001-11-15"
1010;"Stuti Mishra";"F";39;11;"F";"Science";"2001-12-12"
1011;"Harsh Agarwal";"M";42;11;"C";"Science";"2005-08-21"
1012;"Nikunj Agarwal";"M";49;12;"C";"Commerce";"2006-09-20"
1013;"Akriti Saxena";"F";89;12;"A";"Science";"2006-03-22"
1014;"Tani Rastogi";"F";82;12;"A";"Science";"2009-08-29"
